iter	Passed	Remaining
402	6030	8933
403	6039	8909
404	6051	8889
405	6063	8870
406	6073	8849
407	6084	8829
408	6096	8808
409	6105	8785
410	6117	8766
411	6128	8746
412	6137	8722
413	6148	8702
414	6158	8680
415	6166	8657
416	6177	8637
417	6192	8621
418	6202	8601
419	6214	8581
420	6227	8564
421	6237	8542
422	6246	8520
423	6258	8502
424	6271	8484
425	6281	8463
426	6294	8446
427	6305	8427
428	6317	8408
429	6327	8387
430	6344	8376
431	6359	8361
432	6369	8340
433	6377	8317
434	6390	8299
435	6399	8278
436	6408	8256
437	6418	8235
438	6426	8212
439	6435	8190
440	6444	8168
441	6454	8148
442	6463	8126
443	6471	8104
444	6482	8084
445	6491	8063
446	6500	8041
447	6508	8019
448	6518	7999
449	6528	7978
450	6536	7956
451	6545	7936
452	6554	7914
453	6564	7894
454	6572	7872
455	6588	7859
456	6597	7839
457	6606	7818
458	6620	7803
459	6630	7783
460	6639	7763
461	6651	7745
462	6662	7726
463	6670	7705
464	6684	7690
465	6699	7676
466	6708	7656
467	6729	7649
468	6746	7638
469	6757	7619
470	6765	7598
471	6774	7578
472	6782	7557
473	6791	7536
474	6800	7515
475	6809	7496
476	6818	7476
477	6828	7456
478	6837	7436
479	6847	7418
480	6857	7399
481	6867	7380
482	6878	7362
483	6887	7342
484	6898	7324
485	6907	7305
486	6915	7285
487	6927	7268
488	6937	7249
489	6946	7230
490	6957	7212
491	6965	7191
492	6974	7172
493	6986	7155
494	6995	7136
495	7008	7121
496	7022	7106
497	7034	7090
498	7042	7070
499	7053	7053
500	7061	7033
501	7072	7016
502	7087	7002
503	7099	6986
504	7110	6970
505	7125	6956
506	7136	6939
507	7146	6921
508	7155	6902
509	7170	6889
510	7184	6875
511	7194	6857
512	7205	6840
513	7215	6822
514	7227	6806
515	7235	6786
516	7245	6768
517	7255	6751
518	7266	6734
519	7276	6716
520	7285	6698
521	7295	6680
522	7303	6660
523	7312	6643
524	7325	6627
525	7335	6610
526	7345	6592
527	7355	6575
528	7363	6556
529	7372	6537
530	7382	6520
531	7392	6503
532	7400	6484
533	7410	6466
534	7420	6449
535	7428	6430
536	7437	6412
537	7446	6394
538	7457	6378
539	7465	6359
540	7475	6342
541	7484	6324
542	7494	6307
543	7505	6291
544	7517	6275
545	7525	6257
546	7533	6239
547	7541	6220
548	7552	6204
549	7560	6185
550	7570	6168
551	7580	6152
552	7590	6135
553	7599	6118
554	7608	6100
555	7618	6084
556	7626	6065
557	7635	6048
558	7643	6030
559	7653	6013
560	7662	5995
561	7673	5980
562	7685	5965
563	7693	5947
564	7702	5930
565	7712	5913
566	7720	5895
567	7729	5878
568	7737	5861
569	7747	5844
570	7756	5827
571	7765	5810
572	7774	5793
573	7784	5777
574	7793	5760
575	7801	5743
576	7811	5726
577	7819	5709
578	7828	5692
579	7836	5674
580	7847	5659
581	7856	5642
582	7865	5626
583	7874	5608
584	7881	5591
585	7890	5574
586	7897	5556
587	7907	5540
588	7916	5523
589	7925	5507
590	7934	5491
591	7949	5478
592	7959	5462
593	7968	5446
594	7976	5429
595	7986	5413
596	7994	5396
597	8005	5381
598	8014	5365
599	8024	5349
600	8037	5336
601	8046	5319
602	8055	5303
603	8064	5287
604	8074	5271
605	8082	5255
606	8090	5238
607	8098	5221
608	8108	5205
609	8120	5191
610	8128	5175
611	8138	5159
612	8148	5144
613	8157	5128
614	8167	5113
615	8176	5096
616	8187	5082
617	8195	5066
618	8205	5050
619	8216	5035
620	8224	5019
621	8238	5006
622	8248	4991
623	8256	4975
624	8265	4959
625	8273	4943
626	8282	4927
627	8290	4910
628	8298	4894
629	8307	4878
630	8319	4865
631	8330	4850
632	8338	4834
633	8350	4820
634	8357	4804
635	8366	4788
636	8376	4773
637	8386	4758
638	8395	4742
639	8403	4727
640	8414	4712
641	8423	4697
642	8431	4681
643	8441	4666
644	8450	4650
645	8459	4635
646	8464	4618
647	8474	4603
648	8484	4588
649	8492	4573
650	8501	4557
651	8511	4543
652	8520	4527
653	8528	4512
654	8539	4497
655	8548	4483
656	8559	4468
657	8569	4453
658	8577	4438
659	8586	4423
660	8594	4407
661	8605	4393
662	8614	4378
663	8624	4364
664	8632	4348
665	8645	4335
666	8655	4321
667	8666	4307
668	8675	4292
669	8685	4277
670	8693	4262
671	8708	4250
672	8721	4237
673	8728	4221
674	8738	4207
675	8747	4192
676	8757	4178
677	8766	4163
678	8782	4151
679	8791	4137
680	8801	4122
681	8817	4111
682	8826	4096
683	8843	4085
684	8856	4072
685	8867	4059
686	8879	4045
687	8891	4032
688	8903	4018
689	8914	4005
690	8925	3991
691	8940	3979
692	8969	3973
693	8988	3963
694	9000	3949
695	9009	3935
696	9017	3920
697	9026	3905
698	9036	3891
699	9049	3878
700	9059	3864
701	9068	3849
702	9078	3835
703	9087	3820
704	9096	3806
705	9107	3792
706	9116	3778
707	9125	3763
708	9134	3749
709	9155	3739
710	9164	3725
711	9174	3710
712	9183	3696
713	9192	3682
714	9203	3668
715	9213	3654
716	9224	3641
717	9236	3627
718	9247	3614
719	9257	3600
720	9267	3586
721	9278	3572
722	9289	3559
723	9298	3544
724	9310	3531
725	9320	3517
726	9329	3503
727	9341	3490
728	9353	3477
729	9363	3463
730	9377	3450
731	9389	3437
732	9400	3424
733	9409	3409
734	9421	3396
735	9431	3383
736	9441	3369
737	9451	3355
738	9461	3341
739	9471	3327
740	9483	3314
741	9491	3300
742	9502	3286
743	9511	3272
744	9520	3258
745	9533	3246
746	9545	3232
747	9555	3219
748	9564	3205
749	9572	3190
750	9582	3177
751	9591	3163
752	9600	3149
753	9610	3135
754	9618	3121
755	9627	3107
756	9635	3093
757	9645	3079
758	9653	3065
759	9662	3051
760	9670	3037
761	9680	3023
762	9688	3009
763	9696	2995
764	9705	2981
765	9714	2967
766	9724	2954
767	9732	2940
768	9745	2927
769	9755	2914
770	9764	2900
771	9774	2886
772	9790	2874
773	9799	2861
774	9815	2849
775	9828	2837
776	9842	2824
777	9857	2812
778	9868	2799
779	9882	2787
780	9894	2774
781	9906	2761
782	9926	2751
783	9942	2739
784	9954	2726
785	9963	2712
786	9977	2700
787	9990	2687
788	10002	2674
789	10013	2661
790	10023	2648
791	10034	2635
792	10044	2621
793	10054	2608
794	10064	2595
795	10073	2581
796	10085	2568
797	10094	2555
798	10104	2541
799	10114	2528
800	10122	2514
801	10131	2501
802	10140	2487
803	10149	2474
804	10158	2460
805	10167	2447
806	10177	2434
807	10186	2420
808	10198	2407
809	10207	2394
810	10215	2380
811	10224	2367
812	10233	2353
813	10243	2340
814	10251	2327
815	10260	2313
